abandon abandons abandoning abandoned 
abase abased abases abasing 
abash abashed abashes abashing 
abate abated abates abating 
abbreviate abbreviated abbreviates abbreviating 
abdicate abdicated abdicates abdicating 
abduce abduced abduces abducing 
abduct abducted abducting abducts 
abet abets abetted abetting 
abhor abhors abhorred abhorring 
abide abided abides abiding abode 
abirritate abirritated abirritates abirritating 
abjure abjured abjures abjuring 
ablactate ablactated ablactates ablactating 
ablate ablated ablates ablating 
abnegate abnegated abnegates abnegating 
abnormalize abnormalized abnormalizes abnormalizing abnormalise abnormalised abnormalises abnormalising 
abolish abolished abolishes abolishing 
abolitionize abolitionized abolitionizes abolitionizing abolitionise abolitionised abolitionises abolitionising 
abominate abominated abominates abominating 
abort aborted aborting aborts 
abound abounded abounding abounds 
abrade abraded abrades abrading 
abreact abreacted abreacting abreacts 
abridge abridged abridges abridging 
abrogate abrogated abrogates abrogating 
abscess abscessed abscesses abscessing 
abscind abscinded abscinding abscinds 
abscise abscised abscises abscising 
abscond absconded absconding absconds 
abseil abseils abseiled abseiling 
absent absented absenting absents 
absolve absolved absolves absolving 
absorb absorbed absorbing absorbs 
absquatulate absquatulated absquatulates absquatulating 
abstain abstains abstained abstaining 
absterge absterged absterges absterging 
abstract abstracted abstracting abstracts 
abuse abused abuses abusing 
abut abutted abutting abuts 
abye aby abyes abies abyed abied abying abought 
academize academized academizes academizing academise academised academises academising 
accede acceded accedes acceding 
accelerate accelerated accelerates accelerating 
accent accented accenting accents 
accentuate accentuated accentuates accentuating 
accept accepted accepting accepts 
access accessed accesses accessing 
accession accessioned accessioning accessions 
accessorize accessorized accessorizes accessorizing 
acclaim acclaimed acclaiming acclaims 
acclimate acclimated acclimates acclimating 
acclimatize acclimatized acclimatizes acclimatizing acclimatise acclimatised acclimatises acclimatising 
accommodate accommodated accommodates accommodating 
accompanied accompanies accompany accompanying 
accomplish accomplished accomplishes accomplishing 
accompt accompted accompting accompts 
accord accorded according accords 
accost accosted accosting accosts 
account accounted accounting accounts 
accouter accoutre accoutred accoutres accoutring accoutered accoutering accouters 
accredit accredited accrediting accredits 
accrete accreted accretes accreting 
accroach accroached accroaches accroaching 
accrue accrued accrues accruing 
acculturate acculturated acculturates acculturating 
acculturize acculturized acculturizes acculturizing 
accumulate accumulated accumulates accumulating 
accuse accused accuses accusing 
accustom accustomed accustoming accustoms 
ace aced aces acing 
acerbate acerbated acerbates acerbating 
acetified acetifies acetify acetifying 
acetylate acetylated acetylates acetylating 
acetylize acetylized acetylizes acetylizing 
ache ached aches aching 
achieve achieved achieves achieving 
achromatize achromatized achromatizes achromatizing achromatise achromatised achromatises achromatising 
acidified acidifies acidify acidifying 
acidize acidized acidizes acidizing 
acidulate acidulated acidulates acidulating 
acierate acierated acierates acierating 
acknowledge acknowledged acknowledges acknowledging 
acquaint acquainted acquainting acquaints 
acquiesce acquiesced acquiesces acquiescing 
acquire acquired acquires acquiring 
acquit acquitted acquitting aquits 
acronymize acronymized acronymizes acronymizing 
act acted acting acts 
activate activated activates activating 
activize activized activizes activizing 
actualize actualized actualizes actualizing actualise actualised actualises actualising 
actuate actuated actuates actuating 
acuminate acuminated acuminates acuminating 
acupuncture acupunctures acupunctured acupuncturing 
acylate acylated acylates acylating 
adapt adapted adapting adapts 
add added adding adds 
addict addicted addicting addicts 
addle addled addles addling 
address addressed addresses addressing 
addrest addrested addresting addrests 
adduce adduced adduces adducing 
adduct adducted adducting adducts 
